Song,Album,Release_Date,Lyrics
First Mixtape BASED FREESTYLE ,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"(IGH!)Yes sirDo you feel it in your feet? In your head? To the tip of your toes, that's just the tip of the iceberg, tell 'emThat's the tip of the iceberg Cause all these nerds, they ain't got enough slurs Enough words to come fuck with usWe be under the covers and stuck with us No, no homo thoughWe be rockin' off the top man these bitches lowFirst mixtape, not a mistakeNot a diss tape, tryna escapeI was stuck in a band, he was stuck in a packWe was rappin' about bands, got hella fansAnd they understood that peace of the world is more important You know that the shit that we recordin' don't ever been written We the greatest like Jordan, if he was a twin, Rivers of JordanAnd I'm what's up, what's up?Comin' through buss up, what's up, what's up?What's next? What's nuts?Me I go nuts, I focus on whatever I want upAnd when it comes out it's so mystical Super physical, like the education in the gym class I been passed all the classes they been gassed They been tellin' me I need a gas mask just to rap as fastAs Eminem back in '96 (Woo) Who you think you're rhyming with?You don't got a mixtape with Lil BThis off the top bro, I can't stop broOne time, one timeYo extend that beat man cause we got a lot of knowledge to say They talkin' about we got it, we got it, engineersYou see the drive in these cars, ain't no engine hereI've been on the reservation, ain't no Indians hereThey been callin' us niggas and hella ninjas hereBut they don't understand, I throw a star across the River of JordanYeah, I'm going back to rhymin' with Jordan cause that shits so importantI be feelin' like foreign bitches ain't enough for meSo I be comin' through, I know the life is tough for meWhen God give me hella devils and is stuffin' me I understand that it's just complete as a task As a test that I gotta get throughWhen I'm comin off the top, you know I gotta spit glue(IGH!)Man, you know I'm feelin' superb right nowYou know, I'm still at church on sunday reading the word right now You know, praying to the good Lord right now It's not a joke, I gotta shout out everybody though real quick cause we gotta Can I shout out, can I shout out Chatham, just real quick? West Chatham specificallyCan I shout out that Harold's on 87 real quick? Can I shout out Chicago public libraries? Can I shout out the shorties? Can I shout out squad? Can I shout Tribe? Can I shout out uh, can I shout out family? You feel me? Cause I, I, I feel like there's a lot of knowledge Can I tell them something? I wanted to let everybody know that as long as you understand God world, Man world could never hurt you, do you understand? Like it could never hurt you, you could be in after curfew, you feel me? You could have a growth spurt too, you could have, do you feel me? You get older, but it's still gon' have to be a point where you reach a quota, that's you know, that desire at the end of every month So while you sparkin' that blunt to this base tape, I want you to understand, we love you for realAnd that's for real for real for real, for real That's the truth, RuthDon't drop it, just lock it, hold it on, don't stop it, cop it and then You know what I'm saying? Let somebody else use it, you feel me? Cause everything is free out here, we definitely free, freeA Declaration of Independence"
Amen BASED FREESTYLE,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"Yeah see, Brandon, fool, I told you, we gotta go over some hard beats, this timeNate, Nate, Nate FoxWe 'bout to get fucked, fucked upThey said fuck us, for real?We don't play that shit, for realBeen in the same placeFor way too longBeen in the same stateI can't do that shitI get used to itThen I think it's some usual shitUsually I'm too, too litProblems meet you in tune to itI get fucked up and I intend to beSending me, offWhere am I meant to be?Historical problems, I think I know thatI can not go backSimba is stuck in a jungle tonight and I want to beRegular as a one, two, threeAnd the 3/4th time sigDon't talk about my cigOr my sit-uationDon't talk about, I'm litDon't talk about, shit that I did like last weekYou suckI don't got a problemI tried to solve them'Til I realized, that's me, me, me, meFour walls, that's me, me, me, meEverything's so theatricalSo magicalSuper fantasticalSuper fragitalI mean, fragileI'm agileI'm agile, know I keep going on, on itIt's just us, just trustIt must, get betterThan it used to beOne, two, threeClick, click, I'm back at the cribBack on my shit, back on my shitI saved the city with two fans and fistsNo more, unjist, or unjust situationsWhat happened to my bros?What happened to my bros?You know that we grow upA growth spurt from the toesTo the tip of the headI got some longer legsI been growing, my stride just get strongerAnd when I walk into this shitIt's like God is my...on the side of my earAnd I watch him talk into this shitI can't get into this shitBut understand that I'm blessedBlessed, blessed, blessedGod just say, yes, yes, yes, yes, yesTell me what I need toMe too, I got people I need to feed tooYou feel me, I'm on my ownFeed too"
Do My Dance BASED FREESTYLE,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"I'm just havin' fun with it Thank you for... I just wanna say the fact that I'm talkin' to you right now means you're listening right now, soShoutout youShoutout youDo your danceDo your danceShoutout youShoutout youDo your danceDo your danceLook at you, look at me, look at youLook at me, look at youLook at me, look at youDo my dance, do my danceLook at me, look at youLook at me, look at youLook at me, look at youDo my dance, do my dance, do my danceI'm just Chance, I'm just sayin'Just in case you didn't know you can'tKeep on doin' XansThat shit's bad for you and I had to just go tell my fansIf you have a problem, problem once solvedIt's me and Lil B, niggas can bustBut we just got a problem, problem with trustAnd not the ones that hang lights like trustThat's a production jokeComin' through, I don't fuck with youUntil we understand we untouchableThen we can understand that it's a LunchableI mean it's sweet like for kidsNo more beef, I forfeitFe Fi Fo I'm giantComin' through I'm client, I got a couple clientsAnd it keeps on rainin', the children keep on cuttin'It's just me and Bassy, comin' through like Macy'sCame in after Martian fields and things been different latelyI got a different timing for everything that come inI just gotta keep on waiting, I gotta take that, come inShit off the leashOn the leash, everything that I saySkeet skeet, pullin' up in that Jeep, JeepBeep beep, pull off in a creep, creepYou know Jeepers creepYou know speakers speakSo after I'm spoken for I dip off like I'm leavin' meAye can I just introduce my mans real quick?Most mixtapes ever listened to in the worldMost positive, most you know what I'm sayinMost loving, most caringMost eclectic, most intellectual artistLil B!!I'ma tell you man, I appreciate everything you doIf you wasn't a legend I wouldn't even be rockin' with youYou already a legend"
We Rare BASED FREESTYLE,Free (BASED FREESTYLE MIXTAPE),8/5/2015,"We rare, we rareRare, rare, feel me?Out of thin air, I made it to a new thang Pull up in that Bruce WayneYou should see me change, we rare We Rare, we rare Rare, rare, feel me?Out of thin air, I made it to a new thangPull up in that Bruce WayneYou should see me change, we rareYou should see me in that rare thing, that shit is erry' thingUh huh, huh huh, with my [?]On my Bulls and Sox and Bears gameWhen I'm pullin' up in that foie gras, damn that boy got swag, rahI say Allah, woochie woochie voilaVoila, shorty play the violin, little bit smaller than I'm used toI asked 'em ""what's mooshoo?"" She said ""you hungry?"", [?] I'm uglyThat shit actually goes crazyCos I feel like muh'fuckers don't understand uh, the reason why we rare is cos everybody's beautifulAnd that shit just makes me rare and so that's why I'mma just keep dancing in the studioAnd I feel like, nigga, hear me dancing in the..I like my shit uncooked, I like my shit just rawEverything that you thought I wrote, I just thoughtI be coming off the top, that is my talkTop of my head at the end of my black afroWhat I do, what I do when I step in the club Everybody give me dap, bitches give me love And the bartender, at the end he just give a hug He say ""thank you for dropping fifty million thousand dubs""When I'm in the club, niggas love me so muchChano, man I swear we fuckin' just so toughSo when I say I'm, I'm, I'm rareI just mean I'm like Jordan when I'm catchin' some air, cosWe Rare, we rareRare, rare (whoop, whoop) feel me?Out of thin air, I made it to a new thangPull up in that Bruce WayneYou should see me change, we rareWe Rare, we rareRare, rare feel me?Out of thin air, I made it to a new thangPull up in that Bruce WayneYou should see me change, we rare"
All We Got (ft. Kanye West and Chicago Children's Choir),Coloring Book,5/13/2016,"And we backAnd we back, and we back, and we back, and we back, and weAnd we back, and we back, na, na, naThis ain't no intro, this the entreeHit that intro with Kanye and sound like AndréTryna turn my baby mama to my fiancéeShe like music, she from Houston like Auntie YoncéMan my daughter couldn't have a better motherIf she ever find another, he better love herMan I swear my life is perfect, I could merch itIf I die I'll prolly cry at my own service, igh, igh!It was a dream, you could not mess with the BeamThis is like this many ringsY'all know wha' mean?This for the kids of the king of all kingsThis is the holiest thingThis is the beat that played under the WordThis is the sheep that ain't like what it herdThis is officially firstThis is the thirdThis is the bom bom bomBom bom bomBom bom bomMusic is all we gotSo we might as well give it all we gotThis is the bom bom bomBom bom bomBom bom bomMusic all we got, got, gotSo we might as well give it all we gotI get my word from the sermonI do not talk to the serpentThat's the holistic discernmentDaddy said I'm so determinedTold me these goofies can't hurt meI just might make me some earl teaI was baptized like real earlyI might give satan a swirlieWish I could tell you it's readyTell you it's ready todayThey don't give nothing awayYou gotta fight for your wayAnd that don't take nothing awayCause at the end of the dayMusic is all we gotMusic is all we gotIsn't this all we got?So we might as well give it all we gotMusic is all we gotMusic is all we gotWe know, we know we got itWe know, we know we got itWe know, we know we got itWe know, we know we got itMusicWe know, we know we got itWe know, we know we got itWe know, we know we got itWe know, we know we got itMusicMusic is all we got"
No Problem (ft. 2 Chainz and Lil Wayne),Coloring Book,5/13/2016,"You don't want zero problems, big fella!Yep! Igh!If one more label try to stop meIt's gon' be some dreadhead niggas in ya lobby, huh huhYou don't want no problem, want no problem with me, bih!You don't want no problem, want no problem with meJust another day, had to pick up all the mailThere go Chano ridin' through the streets, they be like, ""There he go!""You don't want no problem, want no problem with me, bih!You don't want no problem, want no problem with meJust another day, had to pick up all the mailThere go Chano ridin' through the streets, they be like, ""There he go!""Ooh, watch me come and put the hinges in their handsCountin' Benjis while we meetin', make 'em shake my other handMilly rockin', scoopin' all the blessings out my lapBitch I know you tried to cheat, you shoulda never took a nap, heyFuck wrong with you? What you were thinkin'?Fuck you thought it was?You talk that talk that make a lame ass nigga fall in loveNot me, though, bitch you can keep thoseBruh, I'm at your head like Craig did DeeboDon't tweak, bro, it's never sweet, hoMy shooters come for free, soIf one more label try to stop meIt's gon' be some dreadhead niggas in ya lobby, huh huhYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYep, yep!Pull up in the new thing, I'm likeYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meThey be like, ""There he go!""You old Petey Pablo, take your shirt offWave 'round your head like a helicopterI ain't put enough weed in the bluntAll you do is smoke tobaccoWhere the hell you get them from?Yeezy said he ain't make themMy niggas chasin' bounty huntersAnd gettin' chased by their baby mommasMy first tat was on my stomachGot a pocket full of moneyAnd a mind full of ideasSome of this shit may sound weirdInside of the MaybachLook like it came out of IkeaRun shit like diarrheaBig yacht, no power steeringAye, aye, captainI'm high, captainI'm so highMe and God dappin'This is my blessin'This is my passionSchool of hard knocksI took night classesYou don't want no problem, want no problem with me, bih!You don't want no problem, want no problem with meYep, yep!Pull up in the new thing, I'm likeThey be like, ""There he go!""I got problems bigger than these boysMy deposits, they be on steroidsLord, free the Carter, niggas need the CarterSacrificin' everything, I feel like Jesus CarterHold up, I got this sewed up, my soda poured upMy woes up, I'm flippin' those bucks, they doing toe tucksI rolled up and let the smoke puffI lay down, toes upHold up, get too choked up when I think of old stuffMove on, put my goons on, they kidnap newbornsIn the streets my face a couponHer pussy too warmAll these bitches come to do harmJust bought a new charmFuck the watch, I buy a new arm, you lukewarmI'm Uncle Luke with the hoesPretty bitches, centerfoldsTippy toes around my crib in they robes, just their robesHalf a milli' in the safe, another in the pillowcaseCodeine got me movin' slower than a caterpillar raceFuck wrong with you? What you were thinkin'?What you thought it was?I just popped five Percocets and only caught a buzzAnd if that label try to stop meThere gon' be some crazy Weezy fans waitin' in the lobbyMula, babyYou don't want no problem, want no problem with me, bih!You don't want no problem, want no problem with meJust another day, had to pick up all the mailThere go Chano ridin' through the streets, they be like, ""There he go!""You don't want no problem, want no problem with me, bih!You don't want no problem, want no problem with meJust another day, had to pick up all the mailThere go Chano ridin' through the streets, they be like, ""There he go!""You don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meYou don't want no problem, want no problem with meThey say so, ridin' with the payo'They be like, ""There he go!"""
Summer Friends (ft. Jeremih and Francis & The Lights),Coloring Book,5/13/2016,"Oh, oh, oh, incredibleMy lord...incredibleI believe...Socks on concrete, jolly rancher kidsI was talking back and now I gotta stay at grandma's cribBunch of tank top, nappy headed bike-stealing Chatham boysNone of my niggas ain't had no dadNone of my niggas ain't have no choiceJJ, Mikey, Lil Derek and them79th street was America thenIce cream truck and the beauty supplyBlockbuster movies and Harold's againWe still catching lightning bugsWhen the plague hit the backyardHad to come in at dark cause the big shawtys act hardOkay now, day camp at Grand CrossingFirst day, nigga's shootingSummer school get to losing studentsBut the CPD getting new recruitmentOur summer don't, our summerOur summer don't get no shine no moreOur summer die, our summer time don't got no time no moreSummer friends don't staySummer friends don't stay, stay aroundSummer friends, summer friendsSummer friends don't staySummer friends don't stay, heyStay around hereOh I used to kill 'em with the long hairMomma hair salon doing perms out the armchairDad was working late, he treat the crib like it's a timeshareI would mow some lawnsFold my ones like a lawn chair, hugh, hugh!Now I'm the same way, over time all the time, every night, heyReady my blessing, now I'm ready how I waitNever let a friendship get in my wayNever let a blog get in my wayMake the whole song do whatever I say79, 79, 79, place79, 79, 79, placeSome of my homegirls got lost in the paperworkThey was good friends but I faked the flirtCause if it ain't work, can't make it workIt's been a minute since I called on a friendFucked up and fucked all my friends, all my friendsAll my friends, all my...Stick aroundSummer friends, summer...You're my friend...Summer friends don't stick aroundStick around, heyAnd some of us...79, 79, 79, hey79, 79, 79, hey79, 79, 79, hey, hey, heyYou're my friend79, 79, 79, hey, 79So put your head on my shoulderCitywide, citywide, citywide, heyCitywide, citywide, citywide, heyCitywide, citywide, citywide, heyCitywide, citywide, citywide, heyCitywide, citywide, citywideCitywide, citywide, citywideCitywide, citywide, citywideCitywide, citywide, citywideCitywide, citywide, citywide....I will wait around for youI will wait around for youSo lay your head on my tableLay your head on my tableMay the Lord give your journey mercyMay you be successful, grant you favorAnd bring you back safely, I love youWhen I was so young before I could rememberI would always treat my gang like family membersEven when I changed, a nigga never changed upI always bring my friends, my friends, my friends, my friends upWhen I was so young before I could rememberI would always treat my gang like family membersEven when I changed, a nigga never changed upI always bring my friends, my friends, my friends, my friends up"
D.R.A.M Sings Special,Coloring Book,5/13/2016,You are very specialYou're special tooEveryone is specialThis I know is trueWhen I look at youYou are very specialYou're special tooEveryone is specialThis I know is trueWhen I look at you
Blessings,Coloring Book,5/13/2016,"I'm gon' praise Him, praise Him 'til I'm goneI'm gon' praise Him, praise Him 'til I'm goneWhen the praises go up, the blessings come downWhen the praises go up, the blessings come downIt seems like blessings keep falling in my lapIt seems like blessings keep falling in my lapI don't make songs for free, I make 'em for freedomDon't believe in kings, believe in the KingdomChisel me into stone, prayer whistle me into song airDying laughing with Krillin saying something 'bout blonde hairJesus' black life ain't matter, I know I talked to his daddySaid you the man of the house now, look out for your familyHe has ordered my steps, gave me a sword with a crestAnd gave Donnie a trumpet in case I get shortness of breathI'm gon' praise Him, praise Him 'til I'm goneDon't be madI'm gon' praise Him, praise Him 'til I'm goneWhen the praises go upGood GodThe blessings come downGood GodWhen the praises go up Good God the blessings come downthe blessings come downWhen the praises go up, the blessings come downIt seems like blessings keep falling in my lapThe blessings come downWhen the praises go up, the blessings come downGood GodThey booked the nicest hotels on the 59th floorWith the big wide windows, with the suicide doorsAin't no blood on my money, ain't no Twitter in HeavenI know them drugs isn't close, ain't no visitin' HeavenI know the difference in blessings and worldly possessionsLike my ex girl getting pregnantAnd her becoming my everythingI'm at war with my wrongs, I'm writing four different songsI never forged it or forfeited, I'm a force to be reconciledThey want four minute songsYou need a four hour praise dance performed every mornI'm feeling shortness of breath, so Nico grab you a hornHit Jericho with a buzzer beater to end a quarterWatch brick and mortar fall like dripping water, ugh!Good GodI'm gon' praise Him, praise Him till I'm goneGood GodI'm gon' praise Him, praise Him till I'm goneWhen the praises go up, (Good God) the blessings come downThe blessings come downWhen the praises go up, the blessings come downthe blessings come downWhen the praises go up, the blessings come downAre you ready for your blessings?When the praises go up, the blessings come downAre you ready for your miracle?When the praises go up, the blessings come downAre you ready, are you ready?Are you ready, are you ready?Are you ready, are you ready?Are you ready, are you ready?Are you ready, are you ready?It seems like blessings keep falling in my lap"
Same Drugs,Coloring Book,5/13/2016,"We don't do the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no more'Cause she don't do the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no moreWhen did you change?Wendy, you've agedI thought you'd never grow upI thought you'd neverWindow closed, Wendy got oldI was too late, I was too lateA shadow of what I once was'Cause we don't do the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no moreShe don't laugh the same way no moreWe don't do the, we don't do the same drugs, do the same drugs no moreWhere did you go?Why would you stay?You must have lost your marblesYou always were so forgetfulIn a hurry, don't wait upI was too late, I was too lateA shadow of what I once was'Cause we don't, we don't do what we say we're gonnaYou were always perfect, and I was only practiceDon't you miss the days, stranger?Don't you miss the days?Don't you miss the danger?We don't we don't do the same drugs no more do the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no moreWe don't we don't do the same drugs no more do the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no moreWe don't do the, we don't do the same drugsTurn it aroundI remember whenThis age of patheticsDon't forget the happy thoughtsAll you need is happy thoughtsThe past tense, past bed timeWay back then when everything we read was realAnd everything we said rhymedWide eyed kids being kidsWhy did you stop?What did you do to your hair?Where did you go to end up right back here?When did you start to forget how to fly?It's so naturalJust like Juicy FruitWorks like a magic trickPlease give me half of thatWe don't, we don't, we don'tDon't you color outDon't you bleed on out, ohStay in the line, stay in the lineDandelionDo the same drugs no moreWe don't do the, we don't do the same drugs, do the same drugs no moreWe don't, we don't, we don't....Don't you color outDon't you bleed on out, ohStay in the line, stay in the lineDandelion"
Mixtape (ft. Young Thug and Lil Yachty),Coloring Book,5/13/2016,"Am I the only nigga still care about mixtapes?Am I the only nigga still care about mixtapes?I'm the only nigga still care about mixtapesBad little bitch, wanna know how lips tasteShe curious, she curiousI swear I'm the only nigga still care about mixtapesBad little bitch, wanna know how the lips tasteAll I can hear is the third, ayyAll I can hear is the third, ayyWe don't know none of your words, ayyWe don't know none of your words, ayyI love my women real tall, ayyType that can really play ball, ayyYou buy my hat at the park, ayyThink I might really play ball, ayyI got a link in my bioMy bitch do the salsa like pico de galloThey gotta ask if they may, Cinco de MayoHow can they call themselves bossesWhen they got so many bossesYou gotta see what your boss sayI get it straight out the faucetI ain't felt like this since the third Drought, third Carter dropTold my momma third grade I'd be in the third BarbershopAnd yeah, my momma got real worried when she heard college dropBut now I call the shotsI'm the only nigga still care about mixtapesBad little bitch wanna know how lips tasteI swear I'm the only nigga still cares about mixtapesBad little bitch wanna know how lips tasteBad little mama, she gettin' it ObamaShe sting like a bumble bee, hot as the saunaShe shine like a Rollie, got that from her mommaCan't see me, can't be me, I'm ridin' like a pandaThat booty gon' roll and it's outta controlAnd these bitches gon' fuck off respect and that loyaltyAll my bitches lovin' me and they spoil meRub me down with that lotion, babe oil meDrinking Actavis, baby I'm showin' meIn that choppa I see your perimeterChange the culture, cause my ring is a solarWait one minute I told youYeah, I would like to know youYeah, you lucky like cloversYeah, the clothes no goodMama I do itThe racks I pursue itJust look at me babyI came from the sewersThey love all the slime ballLike they fuck all these cats on your slime dogI got me some rings like I'm Bruce BowenI'm ballin' on you like I'm Chris PaulI'm the only nigga still care about mixtapesBad little bitch wanna know how lips tasteI swear I'm the only nigga still care about mixtapesBad little bitch wanna know how lips tasteAm I the only one who really care about cover art?Growing up I ain't have my brother'Cause he said the streets gave him a fresh startI ain't know what that meanI bumped heads with my deanDropped out and hit the sceneNow I'm stunting like blingTime and time again, they told me noThey told me I wouldn't go'Cause in high school all I cared about was hoesWell, maybe that shit was my interestNow I spend more than they make at my dentistAfter 1Night the folks thought I was finishedI pinned my name to the game like a seamstressOh, bitch I bite like a gatorFuck them reviews that they put in the paperDid what I wanted, didn't care about a haterDelivered my tape to the world as a catererOh, they fuck with me cause I'm differentNew sound, new appearanceBitch, it's Boat from the 6Give a fuck about a bitchWalk out, my hand on my dick, I'm the shitI'm the only nigga still care about mixtapesBad little bitch wanna know how lips tasteI said am I the only nigga still care about mixtapesBad little bitch wanna know how lips taste"
Angels (ft. Saba),Coloring Book,5/13/2016,"Angels, na, na, na, naI got my city doing front flipsWhen every father, mayor, rapper jump shipI guess that's why they call it where I stayClean up the streets, so my daughter can have somewhere to playI'm the blueprint to a real manSome of these niggas toss they tassel for a deal manI ain't goin' to hell or to HillmanIgh, Igh, Igh, Igh, for my real fansI got caught up with a little XanCan't stop me but it slow me thoughYeah a nigga famous, you don't know me thoughBut every DJ still play me thoughDamn man, I don't even need a radioAnd my new shit sound like a rodeoGot the old folks dancing the Do-si-do'Til they fuck around and sign me to OVOOooh, I just might share my next one with KeefGot the industry in disbelief, they be asking for beefThis what it sound like when God split an atom with meI even had Steve giving out apples for freeThey was talking ""woo this woo wap da bam""City so damn great, I feel like Alexand'Wear your halo like a hat, that's like the latest fashionI got angels all around me they keep me surroundedWho is you, and who the fuck is you, and who is him?All of a sudden, woo wap da bamYou can't touch meNa, na, na, na, I got angelsI got angelsI ain't change my number since the seventh gradeThis for my day one, ten years, seven daysA week, niggas never tired on they Kevin GatesAnd if they rest in peace they bunny hopping heaven's gatesIt's too many young angels on the southsideGot us scared to let our grandmommas outsideYou gon' make me take the campers way downtownYou gon' make me turn my BM to my housewifeI just had a growth spurtIt done took so long, my tippy toes hurtYou can keep the nose ring, I don't have to soul searchI'm still at my old church, only ever sold merchGrandma say I'm Kosher, momma say I'm cultureGCI, 1-0-7-5, angel goin' livePower 92, angel, juke, angel gon' jukeGCI, 1-0-7-5, goin' livePower 92, angel gon' juke, juke, juke, jukeThey was talking ""woo this woo wap da bam""City so damn great, I feel like Alexand'Wear your halo like a hat, that's like the latest fashionI got angels all around me, they keep me surroundedWap the bam, na, na, na, naI got angelsI got angels I got angels all around me they keep me surroundedNa, na, na, naI got, I got angelsThey was talking ""woo woo, this woo wap da bam""City so damn great, I feel like Alexand'Wear your halo like a hat, that's like the latest fashionI got angels all around me, they keep me surroundedWho is you, and who the fuck is you, and who is him?All of a sudden, woo wap da bamYou can't touch meNa, na, na, na, I got angelsI got, I got angelsNa, naNa, naI got, I got"
Juke Jam (ft. Justin Bieber and Towkio),Coloring Book,5/13/2016,"We used to roll at the Rink, we used to roll at the RinkI used to talk way too much, you used to know everythingYou couldn't stand me, I couldn't stand youYou said I'm steady playin', but you steady playin' tooYour big brother foot workYour play sister JukeThe Rink was the placeBut in that space and time I was too young for youAs you were for me, too worried 'bout Frooties and Chews'Til I found out all the shawdy's with cooties was cuteAnd realized what booties can doWe gon' get it poppin'We gon' get it Jukin'We gon' throw a partyWe ain't gotta do shitYou came with your best friendCame up with for the weekendRolling with your partiesSo tell me what you thinkin'So we gon' have a juke jamSo we gon' have a juke jamWe can have a party, just listening to musicLike we used to doI'll get close to youI remember youYou used to ""I remember you""We've got so much history baby, maybeMaybe you and I were meant to beMaybe I'm crazyWe never rolled at the RinkWe would just go to the RinkYou ain't buy tokens no moreYou just hip roll at the RinkYou had a nigga, I couldn't stand himBut when they play ""Take You Down"", Chris BrownI am his stand-inI mean it's just dancingIt's harmless as fuckThen I put my waist through your hipsAnd your legs and my arms just to harness you upThen we hit the floorAll the kiddies stop skatingTo see grown folks do, what grown folks doWhen they grown and they datingWe've got so much history baby, maybeMaybe you and I were meant to beMaybe I'm crazyCrazy about youWe gon' get it poppin'We gon' get it Jukin'We gon' throw a partyWe ain't gotta do shitYou came with your best friendWho came up for the weekendRollin with the partiesSo tell me what you thinkin'So we gon' have a juke jamSo we gon' have a juke jamWe can have a party, just listening to musicLike we used to doI'll get close to youI remember youYou used to ""I remember you""We've got so much history baby (juke)Maybe (juke)"
All Night (ft. Knox Fortune),Coloring Book,5/13/2016,"Come on, big fella, you drunk, big fellaTwo sips and now you wanna trip, big fellaYou not a drinker, I can see it all in your leg, big fellaYou wobbly, big fella, you finna fallSit down, you drunk, big fellaAll night, I been drinking all nightI been drinking all night, I been drinking, ay ayAll night, I been drinking all nightI been drinking all night, I been drinking, heyAll night, I been drinking all nightI been drinking all night, I been drinking, ay ayEverybody outside, everybody outsideWhen I pull up outside, all night, noEverybody high five, everybody wanna smileEverybody wanna lie, that's nice, noOh, now you wanna chill, oh, now you wanna buildOh, now you got the bill, that's cool thoughOh, now you got the gas, oh, now you wanna laughOh, now you need a cab, that's true thoughAll you do is talk, I ain't got shit to sayCan't no one get in my car, I don't even valetLong discussions, oh, you my cousin?No you wasn't, you just wanna rideYou just wanna talk about politics, Chicago shit and rocket shipsYou just wanna, you just wanna, you just wanna, you just wanna, you just wanna, you just wannaShut up! Start dancing, hoAll night, I been drinking all nightI been drinking all night, I been drinking, ay ayAll night, I been drinking all nightI been drinking all night, I been drinking, heyAll night, I been drinking all nightI been drinking all night, I been drinking, ay ayYou just went and spilt fries in the seatIt's fried on the seat, come ride on the seat, ayLast girl, she'll lie on the seat, she'll fart on the seatNow she jog in the streets, sayI don't trust no one faking like a fan, asking for a picYou should use your phone, call a UberYou a goofy if you think I don't know you need a lyftIs you is or is you ain't got gas moneyNo IOU's or debit cards, I need cash moneySo back up, back up, I need spaceNow, I need you to slow down, it's not a raceNow I can't really hear what you gotta say nowShut up! Start dancing, hoAll night, I been drinking all nightI been drinking all night, I been drinking, ay ayAll night, I been drinking all nightI been drinking all night, I been drinking, heyAll night, I been drinking all nightI been drinking all night, I been drinking, ay ay"
How Great (feat. Jay Electronica & My cousin Nicole),Coloring Book,5/13/2016,"How great is our GodSing with me, how great is our GodAll will see how great is our GodHow great is our GodSing with me, how great is our GodAll will see, how great, how great, is our GodName above all namesWorthy of all praiseAnd my heart will sing how great is our GodName above all namesWorthy of all praiseAnd my heart will sing how great is our GodHow great is our GodSing with me, how great is our GodAll will see how great is our GodHow great, is our GodSing with me, how great is our GodAll will see, how great, how great, how great, how great, how great, how great, is our GodThe first is that God is better than the world's best thingGod is better than the best thing that the world has to offerMagnify, magnify, lift it on highSpit it Spotify to qualify a spot on His sideI cannot modify or ratifyMy momma made me apple piesLullabies and alibisThe book don't end with MalachiDevil will win employee of the month by the dozen'Til one score and three yearsFrom the third when he doesn'tMy village raised 'em a childCome through the crib and it's bustin'You meet anyone from my cityThey gon' say that we cousinsShabach barak, edifyElectrify the enemy like Hedwig till he petrifiedAny petty Peter Petigrew could get the pesticide79th, 79th, I don't believe in science, I believe in signsDon't believe in signing, I seen dollar signsColor white collar crimeGood God, the gift of freedomHosanna Santa invoked and woke up slaves from Southampton to Chatham ManorMy dream girl's behind me, feel like I'm James EarlyThe type of worship make Jesus come back a day earlyWith the faith of a pumpkin-seed-sized mustard seedHear, for I will speak noble things as entrusted meOnly righteous, I might just shrug at the skullduggeryI couldn't stand to see another rapper lose custodyExalt, Exalt, glorifyDescend upon the earth with swordsAnd fortify the borders where your shortage lieI used to hide from GodDucked down in the slums like ""shhh""I was lost in the jungle like Simba after the death of MufasaNo hog, no meerkat, hakuna matata by dayBut I spent my night time fighting tears backI prayed and prayed and left messagesBut never got no hear back, or so it seemedA mustard seed was all I needed to sow a dreamI build the ark to gently, gentlyRow my boat down Noah's streamSometimes the path I took to reachMy petty goals was so extremeI was so far down in the mudCouldn't even let my light shineBut you was always thereWhen I needed to phone a friend or use a life lineFrom a lofty height we wage warOn the poltergeist with the exalted ChristSpark the dark with the pulse of lightStrike a corpse with a pulse of lifeI spit on the Tidal it's tidal wavesI spit on the Apple and kill a wormA fire in Cali will swallow a valleyFor every African village burnedJay Elect would've never made itO' son of man, O' son of manWho was the angel in RevelationsWith a foot on water and a foot on land?Who was the angel that rode a HarleyFrom the project to the house of ParliamentAnd opened the book in the Devil's chamberAnd put the true name of the Lord in it?Old Jerusalem, New JerusalemComes like this beast with a ball of fireThey poisoned the scripturesAnd gave us the pictures of false messiahsIt was all a lieMystery babylon, tumbling downSatan's establishment crumbling downThis is the year that I come for the crownBury my enemies under the ground"
